"

		規格總覽 GENERAL SPECIFICATIONS"
型號,Nikon 1 J4
主要賣點,高速 Hybrid AF、可換鏡頭設計、1840 萬像 CMOS、Full HD 60fps 拍片、20fps 高速連拍（連續對焦）、3 吋觸控 LCD
相機格式,1839 萬像素，可換鏡頭式數碼相機
推出日期,約 2014 年 4 月 
"








"
"

	影像規格 IMAGE SPECIFICATIONS"
感光元件像素,1839 萬像素
有效像素,1839 萬像素
感光元件格式,1 吋
感光元件大小,13.2 x 8.8 mm
感光元件種類,CMOS
最大解像度,5232 x 3488
解像度選擇,5232 x 3488 ; 3920 x 2616 ; 2608 x 1744 ; 4800 x 920 ; 1536 x 4800 ; 9600 x 920 ; 1536 x 9600 ; 5232 x 2936
壓縮模式,JPEG
質素調較,"Fine, Normal"
無壓縮影像格式,NEF、NEF + JPEG (Fine)、RAW + JPEG (Standard)
影像比例,3:2 / 16:9
動畫解像度,"HD 短片1,920 x 1,080/60p (59.94 fps) ; 1,920 x 1,080/30p (29.97 fps); 1,280 x 720/60p (59.94 fps) ；1,280 x 720/30p (29.97 fps) 慢速動作短片 1280 x 720/120 fps (播放時採用 30p/29.97 fps); 768 x 288/400 fps (播放時採用 30p/29.97 fps); 416 x 144/1200 fps (播放時採用 30p/29.97 fps)；以靜態影像模式記錄的短片：1,072 x 720/60p (59.94 fps)； 動態快照 1,920 x 1,080/60p (59.94 fps) (播放時採用 24p/23.976 fps)"
動畫種類,H.264/MPEG-4
動畫音效,"立體聲, 支援外置收音"
訊號轉換器,12 bits
雜訊消除,支援，可選擇開關
"

	鏡頭規格 LENS SPECIFICATIONS"
鏡片組合,視鏡頭而定 
鏡片焦距,視鏡頭而定  mm
135 格式焦距,視鏡頭而定  mm 至 視鏡頭而定  mm
變焦能力,視鏡頭而定 X
光圈範圍,視鏡頭而定
焦距變換比率,2.7 倍
自動對焦情況,Hybrid AF 系統、171 點 Contrast Detection AF、105 點 Phase Detection AF
AF Assist Light,支援
手動對焦,支援
正常對焦範圍,視鏡頭而定
微距對焦範圍,視鏡頭而定
鏡頭接環,Nikon 1 接環，可透過接環使用 Nikon F 鏡頭
轉換鏡頭,視鏡頭而定
"

	曝光控制 EXPOSURE CONTROLS"
曝光模式,1. 支援光圈先決2. 支援快門先決3. 支援手動曝光
場景模式,未有資料
快門速度,1/16000 至 30 秒，支援 B 快門
測光模式,TTL 多區測光重心偏重平均測光重點測光
曝光補償,-2EV 至 +2EV 以 1/3EV 級調整
自動曝光鎖,支援
ISO 感光值,自動 / 160 / 200 / 400 / 800 / 1600 / 3200 / 6400 / 12800
白平衡設定,自動、白熾燈、螢光燈、直射陽光、閃光燈、陰天、陰影、預設手動，除預設手動以外均可進行微調支援手動白平衡設定
自拍,2 秒及10 秒延時自拍自拍模式 自拍模式
連拍,最高 60 fps，20fps（開啟連續自動對焦）
"

	閃光燈 FLASHES"
閃燈模式,補充閃光、慢速同步、減輕紅眼、慢速同步連減輕紅眼、後簾同步、後簾慢速同步
閃燈範圍,GN5
外接閃燈,支援，支援 i-TTL
閃燈同步模式,支援前後簾快門
"

	觀景器 VIEWFINDER"
LCD 熒光幕,"3.0 吋  (1,037,000 像素) 觸控式 TFT LCD 熒光幕 ，視野率為 100 %"
光學觀景器,沒有光學觀器
播放放大,13X
"

	資料存取 DATA TRANSFER"
儲存媒體,microSD / microSDHC / microSDXC
接口,USB 2.0、HDMI
視頻輸出,HDMI
打印協定,PictBridge / DPOF / Exif Print / PIM III
"

	電源 POWER SUPPLIES"
電池種類,EN-EL22 鋰離子充電池
隨機電池及充電器,EN-EL22 鋰離子充電池及專用充電器
"

	機身資料 PHYSICAL SPECIFICATIONS"
腳架座材料,金屬
機身重量,192 克
重量(含電池),232 克
體積,99.5 x 60 x 28.5mm
"

	其它資料 OTHERS"
搖遠控制,支援
"

	其它資料 OTHERS"
附註,"60fps 連拍
全新 Hybrid AF 對焦系統
可透過轉接環使用 F Mount 鏡頭
內置 EXPEED 4A 影像處理器"
 ,規格比拼
